feature,VIF
bm_risk,inf
bonus_malus_clean,inf
power_per_vol,47.7619137707018
vehicle_x_power,47.465821256994715
SCORE_9_avg,21.561446833005746
SCORE_5_avg,20.93625831991818
exp_group,17.05654240095649
policy_month,15.091037621766898
policy_quarter,15.064567795323457
is_new_driver,10.446315933684234
pol_any_new,10.107019620440383
drivers_x_new,9.038195338937612
experience_year,7.859596030553041
SCORE_10_avg,6.1142141308673805
SCORE_8_avg,5.622478524471397
bm_is_good,5.138422076483656
pol_avg_bm,5.01182866593435
pol_max_bm_risk,4.8645648543936595
power_x_new,4.597996530764112
pol_min_exp,3.9833409763801484
engine_power,3.7179053784871723
pol_driver_cnt,3.301881187010723
SCORE_4_avg,2.612654348947234
SCORE_6_avg,2.4593113775539046
driver_avg_bm,2.210287258628396
engine_volume,2.1888793687524126
high_power,2.1425324511929174
SCORE_3_avg,1.7932895658821573
SCORE_11_avg,1.6771073935914858
SCORE_2_avg,1.4168386581302743
SCORE_7_avg,1.2426634704039639
SCORE_12_avg,1.2337193760061866
SCORE_1_avg,1.1920305189211335
car_age_calc,1.176769910891704
vehicle_type_id,1.0760209064371706
car_year,1.0409509574552374
region_id,1.0205149140470495
driver_claim_rate,1.0049361025400043
